Date,Open,High,Low,Close,Adj Close,Volume
Sep 18,2026,1650.00,1655.00,1605.00,1610.00,1610.00,32250600
Sep 14,2026,1720.00,1735.00,1605.00,1610.00,1610.00,133262000
Sep 7,2026,1790.00,1795.00,1710.00,1720.00,1720.00,73519700
Aug 31,2026,1775.00,1835.00,1775.00,1790.00,1790.00,112181500
Aug 24,2026,1805.00,1815.00,1770.00,1785.00,1785.00,48560100
Aug 17,2026,1790.00,1820.00,1755.00,1805.00,1805.00,60165100
Aug 10,2026,1825.00,1850.00,1760.00,1790.00,1790.00,65219500
Aug 3,2026,1820.00,1835.00,1790.00,1820.00,1820.00,70021600
Jul 27,2026,1845.00,1870.00,1750.00,1820.00,1820.00,56389300
Jul 20,2026,1910.00,1945.00,1840.00,1845.00,1845.00,82268300
Jul 13,2026,1735.00,1910.00,1720.00,1910.00,1910.00,114045700
Jul 6,2026,1760.00,1835.00,1715.00,1730.00,1730.00,44203400
Jun 29,2026,1720.00,1765.00,1660.00,1750.00,1750.00,41760800
Jun 22,2026,1850.00,1850.00,1700.00,1730.00,1730.00,52116400
Jun 15,2026,1875.00,1945.00,1800.00,1835.00,1835.00,66623800
Jun 8,2026,1745.00,1950.00,1565.00,1870.00,1870.00,156644600
Jun 1,2026,1975.00,1975.00,1740.00,1765.00,1765.00,60009200
May 25,2026,1770.00,1985.00,1760.00,1980.00,1980.00,132072500
May 18,2026,1795.00,1830.00,1700.00,1775.00,1775.00,111922500
May 11,2026,1910.00,1925.00,1810.00,1830.00,1797.19,79619300
May 4,2026,1780.00,2000.00,1770.00,1910.00,1875.76,154514500
Apr 27,2026,1880.00,1910.00,1735.00,1775.00,1743.18,96191900
Apr 20,2026,2080.00,2100.00,1870.00,1880.00,1846.29,87425800
Apr 13,2026,2110.00,2150.00,2070.00,2080.00,2042.71,60338500
Apr 6,2026,2100.00,2170.00,2070.00,2110.00,2072.17,63998600
Mar 30,2026,2130.00,2170.00,2100.00,2100.00,2062.35,21394300
Mar 23,2026,2110.00,2170.00,2100.00,2130.00,2091.81,12673400
Mar 16,2026,2130.00,2150.00,2100.00,2110.00,2072.17,10601900
Mar 9,2026,2180.00,2320.00,2130.00,2130.00,2091.81,82033800
Mar 2,2026,2300.00,2300.00,2080.00,2230.00,2190.02,109774900
Feb 23,2026,2340.00,2400.00,2300.00,2360.00,2317.69,69816900
Feb 16,2026,2350.00,2380.00,2320.00,2340.00,2298.05,37313100
Feb 9,2026,2410.00,2480.00,2330.00,2350.00,2307.87,125641000
Feb 2,2026,2250.00,2470.00,2160.00,2380.00,2337.33,328120700
Jan 26,2026,2250.00,2270.00,1790.00,2250.00,2209.66,213346300
Jan 19,2026,2300.00,2320.00,2170.00,2250.00,2209.66,132418700
Jan 12,2026,2090.00,2330.00,2090.00,2290.00,2248.94,168874700
Jan 5,2026,2150.00,2210.00,2070.00,2080.00,2042.71,150900500
Dec 29,2025,2230.00,2280.00,2160.00,2160.00,2121.27,50170400
Dec 22,2025,2250.00,2260.00,2220.00,2230.00,2190.02,17090800
Dec 15,2025,2170.00,2330.00,2160.00,2240.00,2199.84,115622100
Dec 8,2025,2350.00,2360.00,2150.00,2160.00,2121.27,95033400
Dec 1,2025,2340.00,2410.00,2320.00,2330.00,2288.23,51221500
Nov 24,2025,2420.00,2430.00,2340.00,2340.00,2298.05,55346700
Nov 17,2025,2500.00,2510.00,2390.00,2420.00,2376.61,64546200
Nov 10,2025,2530.00,2540.00,2450.00,2490.00,2445.36,81148800
Nov 3,2025,2550.00,2580.00,2480.00,2510.00,2465.00,93846400
Oct 27,2025,2650.00,2660.00,2550.00,2550.00,2504.28,95310200
Oct 20,2025,2550.00,2720.00,2550.00,2610.00,2563.21,116021700
Oct 13,2025,2610.00,2620.00,2490.00,2520.00,2474.82,73435500
Oct 6,2025,2610.00,2740.00,2580.00,2630.00,2582.85,84189500
Sep 29,2025,2660.00,2660.00,2580.00,2610.00,2563.21,84184400
Sep 22,2025,2620.00,2730.00,2590.00,2670.00,2622.13,91161400
